equipo,primario,secundario,nota
Aldosivi,#1E7B3C,#F7D117,verde y amarillo
Argentinos Juniors,#D6001C,#FFFFFF,rojo y blanco
Atlético Tucumán,#5CC0F2,#FFFFFF,celeste y blanco
Banfield,#0E6B3D,#FFFFFF,verde y blanco
Barracas Central,#C8102E,#FFFFFF,rojo y blanco a bastones (verificado 26/07/2026)
Belgrano,#5CACEE,#FFFFFF,celeste y blanco
Boca Juniors,#0A2472,#F7D117,azul y amarillo
Central Córdoba (SdE),#111111,#FFFFFF,negro y blanco a bastones (verificado 26/07/2026)
Defensa y Justicia,#1E7B3C,#F7D117,verde y amarillo
Deportivo Riestra,#111111,#FFFFFF,negro y blanco (verificado 26/07/2026)
Estudiantes (LP),#D6001C,#FFFFFF,rojo y blanco
Estudiantes (RC),#5CC0F2,#FFFFFF,celeste y blanco (verificado 26/07/2026)
Gimnasia (LP),#123A7A,#FFFFFF,azul y blanco
Gimnasia (M),#FFFFFF,#111111,blanco y negro (verificado 26/07/2026)
Huracán,#FFFFFF,#E01A2B,blanco con vivos rojos
Independiente,#D31820,#FFFFFF,rojo y blanco
Independiente Rivadavia,#1B3D8F,#FFFFFF,azul y blanco
Instituto,#C8102E,#FFFFFF,rojo y blanco
Lanús,#6B1229,#FFFFFF,granate y blanco
Newell's Old Boys,#D6001C,#111111,rojo y negro
Platense,#6B4A2F,#FFFFFF,marrón y blanco
Racing Club,#5CC0F2,#FFFFFF,celeste y blanco
River Plate,#FFFFFF,#D10A2E,blanco con banda roja
Rosario Central,#1A56A8,#FFD100,azul y amarillo
San Lorenzo,#0A2A6B,#C8102E,azul y rojo
Sarmiento (J),#1E7B3C,#FFFFFF,verde y blanco
Talleres (C),#0B2C6F,#FFFFFF,azul y blanco
Tigre,#1B3D8F,#C8102E,azul y rojo
Unión,#C8102E,#FFFFFF,rojo y blanco
Vélez Sarsfield,#FFFFFF,#1A3A8F,blanco con V azul
