slug,fuente,url_origen,licencia,fecha_descarga
aldosivi,TheSportsDB,https://www.thesportsdb.com/team/135150,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
argentinos-juniors,TheSportsDB,https://www.thesportsdb.com/team/135151,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
atletico-tucuman,TheSportsDB,https://www.thesportsdb.com/team/135681,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
banfield,TheSportsDB,https://www.thesportsdb.com/team/135154,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
barracas-central,TheSportsDB,https://www.thesportsdb.com/team/137771,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
belgrano,TheSportsDB,https://www.thesportsdb.com/team/135155,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
boca-juniors,TheSportsDB,https://www.thesportsdb.com/team/135156,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
central-cordoba-sde,TheSportsDB,https://www.thesportsdb.com/team/137603,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
defensa-y-justicia,TheSportsDB,https://www.thesportsdb.com/team/135159,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
deportivo-riestra,TheSportsDB,https://www.thesportsdb.com/team/137782,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
estudiantes-lp,TheSportsDB,https://www.thesportsdb.com/team/135160,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
estudiantes-rc,TheSportsDB,https://www.thesportsdb.com/team/137773,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
gimnasia-lp,TheSportsDB,https://www.thesportsdb.com/team/135161,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
gimnasia-m,TheSportsDB,https://www.thesportsdb.com/team/137778,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
huracan,TheSportsDB,https://www.thesportsdb.com/team/135163,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
independiente,TheSportsDB,https://www.thesportsdb.com/team/135164,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
independiente-rivadavia,TheSportsDB,https://www.thesportsdb.com/team/137777,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
instituto,TheSportsDB,https://www.thesportsdb.com/team/137786,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
lanus,TheSportsDB,https://www.thesportsdb.com/team/135165,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
newell-s-old-boys,TheSportsDB,https://www.thesportsdb.com/team/135166,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
platense,TheSportsDB,https://www.thesportsdb.com/team/137775,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
racing-club,TheSportsDB,https://www.thesportsdb.com/team/135170,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
river-plate,TheSportsDB,https://www.thesportsdb.com/team/135171,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
rosario-central,TheSportsDB,https://www.thesportsdb.com/team/135172,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
san-lorenzo,TheSportsDB,https://www.thesportsdb.com/team/135173,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
sarmiento-j,TheSportsDB,https://www.thesportsdb.com/team/135175,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
talleres-c,TheSportsDB,https://www.thesportsdb.com/team/136674,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
tigre,TheSportsDB,https://www.thesportsdb.com/team/135177,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
union,TheSportsDB,https://www.thesportsdb.com/team/135178,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
velez-sarsfield,TheSportsDB,https://www.thesportsdb.com/team/135179,"Contenido comunitario de TheSportsDB; el escudo es marca del club, uso editorial",2026-07-27
