fotmob_id,canonical
161728,Aldosivi
10086,Argentinos Juniors
10098,Arsenal de Sarandí
161727,Atlético Tucumán
10087,Banfield
213534,Barracas Central
10092,Belgrano
10077,Boca Juniors
213596,Central Córdoba (SdE)
10088,Colón
10089,Platense
161730,Defensa y Justicia
298629,Deportivo Riestra
10094,Estudiantes (LP)
213591,Estudiantes (RC)
10103,Gimnasia (LP)
568727,Gimnasia (M)
10227,Godoy Cruz
10081,Huracán
10078,Independiente
161729,Independiente Rivadavia
10090,Instituto
10082,Lanús
10201,Newell's Old Boys
10080,Racing Club
10076,River Plate
10084,Rosario Central
10083,San Lorenzo
89395,San Martín (SJ)
202757,Sarmiento (J)
10101,Talleres (C)
89396,Tigre
10096,Unión
10079,Vélez Sarsfield
