archivo,que,nombre,origen,licencia,autor,bajado
portada.jpg,portada,"File:Vista aérea del Estadio Alberto J. Armando ""La Bombonera"" 01.jpg",https://commons.wikimedia.org/wiki/File:Vista_a%C3%A9rea_del_Estadio_Alberto_J._Armando_%22La_Bombonera%22_01.jpg,CC BY-SA 4.0,ProtoplasmaKid,2026-07-29
jugadores/1200014.png,jugador,Lautaro Blanco,https://images.fotmob.com/image_resources/playerimages/1200014.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/1385954.png,jugador,Lautaro Di Lollo,https://images.fotmob.com/image_resources/playerimages/1385954.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/1213769.png,jugador,Ayrton Costa,https://images.fotmob.com/image_resources/playerimages/1213769.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/237606.png,jugador,Leandro Paredes,https://images.fotmob.com/image_resources/playerimages/237606.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/1634839.png,jugador,Milton Delgado,https://images.fotmob.com/image_resources/playerimages/1634839.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/164020.png,jugador,Agustín Marchesín,https://images.fotmob.com/image_resources/playerimages/164020.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/826418.png,jugador,Miguel Merentiel,https://images.fotmob.com/image_resources/playerimages/826418.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/724854.png,jugador,Santiago Ascacíbar,https://images.fotmob.com/image_resources/playerimages/724854.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/1899032.png,jugador,Tomás Aranda,https://images.fotmob.com/image_resources/playerimages/1899032.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/974894.png,jugador,Marcelo Weigandt,https://images.fotmob.com/image_resources/playerimages/974894.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/1213652.png,jugador,Juan Barinaga,https://images.fotmob.com/image_resources/playerimages/1213652.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/845370.png,jugador,Adam Bareiro,https://images.fotmob.com/image_resources/playerimages/845370.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/847984.png,jugador,Tomás Belmonte,https://images.fotmob.com/image_resources/playerimages/847984.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/938003.png,jugador,Malcom Braida,https://images.fotmob.com/image_resources/playerimages/938003.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
jugadores/1110044.png,jugador,Exequiel Zeballos,https://images.fotmob.com/image_resources/playerimages/1110044.png,sin licencia libre — ver el aviso en el encabezado,FotMob (redistribuye de terceros),2026-07-29
