raw,canonical
Aldosivi,Aldosivi
All Boys,All Boys
Argentinos Jrs,Argentinos Juniors
Arsenal Sarandi,Arsenal de Sarandí
Atl. Rafaela,Atlético de Rafaela
Atl. Tucuman,Atlético Tucumán
Banfield,Banfield
Barracas Central,Barracas Central
Belgrano,Belgrano
Boca Juniors,Boca Juniors
Central Cordoba,Central Córdoba (SdE)
Chacarita Juniors,Chacarita Juniors
Colon Santa FE,Colón
Colon Santa Fe,Colón
Crucero del Norte,Crucero del Norte
Defensa y Justicia,Defensa y Justicia
Dep. Riestra,Deportivo Riestra
Estudiantes L.P.,Estudiantes (LP)
Estudiantes Rio Cuarto,Estudiantes (RC)
Gimnasia L.P.,Gimnasia (LP)
Gimnasia Mendoza,Gimnasia (M)
Godoy Cruz,Godoy Cruz
Huracan,Huracán
Ind. Rivadavia,Independiente Rivadavia
Independiente,Independiente
Instituto,Instituto
Lanus,Lanús
Newells Old Boys,Newell's Old Boys
Nueva Chicago,Nueva Chicago
Olimpo Bahia Blanca,Olimpo
Patronato,Patronato
Platense,Platense
Quilmes,Quilmes
Racing Club,Racing Club
River Plate,River Plate
Rosario Central,Rosario Central
San Lorenzo,San Lorenzo
San Martin S.J.,San Martín (SJ)
San Martin T.,San Martín (T)
Sarmiento Junin,Sarmiento (J)
Talleres Cordoba,Talleres (C)
Temperley,Temperley
Tigre,Tigre
Union de Santa Fe,Unión
Velez Sarsfield,Vélez Sarsfield
