season_id,zona,equipo
2026,A,Estudiantes (LP)
2026,A,Boca Juniors
2026,A,Vélez Sarsfield
2026,A,Talleres (C)
2026,A,Independiente
2026,A,Lanús
2026,A,San Lorenzo
2026,A,Unión
2026,A,Instituto
2026,A,Defensa y Justicia
2026,A,Gimnasia (M)
2026,A,Platense
2026,A,Central Córdoba (SdE)
2026,A,Newell's Old Boys
2026,A,Deportivo Riestra
2026,B,Independiente Rivadavia
2026,B,River Plate
2026,B,Argentinos Juniors
2026,B,Rosario Central
2026,B,Belgrano
2026,B,Gimnasia (LP)
2026,B,Huracán
2026,B,Racing Club
2026,B,Barracas Central
2026,B,Tigre
2026,B,Sarmiento (J)
2026,B,Atlético Tucumán
2026,B,Banfield
2026,B,Aldosivi
2026,B,Estudiantes (RC)
